,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
347,Karaj,IR,35.8355,51.0103,68.52,59,0,13.8,clear sky
348,Fort-Shevchenko,KZ,44.5086,50.263,58.75,60,0,8.05,clear sky
349,Miri,MY,4.4148,114.0089,77.14,100,40,3.44,scattered clouds
350,Carnarvon,AU,-24.8667,113.6333,66.06,42,0,14.94,clear sky
351,Tiznit,MA,29.5833,-9.5,84.51,28,47,3.15,scattered clouds
352,Igurusi,TZ,-8.85,33.85,70.05,38,18,5.95,few clouds
353,Urengoy,RU,65.9667,78.3667,37.85,98,100,11.05,light rain
354,Kamenka,RU,51.3223,42.7678,49.91,81,0,6.51,clear sky
355,Tadine,NC,-21.55,167.8833,73.17,83,95,18.84,overcast clouds
356,Naze,JP,28.3667,129.4833,72.52,72,82,11.34,broken clouds
357,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.99,86,0,4.47,clear sky
358,Sete,FR,43.4018,3.6966,66.94,77,100,2.66,overcast clouds
359,Fare,PF,-16.7,-151.0167,78.35,74,25,22.19,scattered clouds
360,Port Blair,IN,11.6667,92.75,78.84,89,75,2.3,mist
361,Abha,SA,18.2164,42.5053,69.62,77,0,4.61,clear sky
362,Sibulan,PH,9.3584,123.285,80.22,82,100,3.18,overcast clouds
363,Pecos,US,31.4229,-103.4932,76.03,49,0,4.61,clear sky
364,Polovinnoye,RU,54.7914,65.9864,46.29,82,97,5.57,overcast clouds
365,Yamasaki,JP,35.0,134.55,61.34,92,100,3.56,overcast clouds
366,Jalu,LY,29.0331,21.5482,74.55,37,0,8.97,clear sky
367,Chillicothe,US,39.3331,-82.9824,61.99,64,100,7.0,overcast clouds
368,Krapivinskiy,RU,54.9992,86.8133,36.07,85,93,3.76,overcast clouds
369,Villazon,BO,-22.0866,-65.5942,64.26,2,0,6.89,clear sky
370,Cherskiy,RU,68.75,161.3,18.05,90,100,18.37,overcast clouds
371,Quelimane,MZ,-17.8786,36.8883,78.75,83,0,9.22,clear sky
372,Emporia,US,38.4039,-96.1817,59.9,35,40,16.11,scattered clouds
373,Guymon,US,36.6828,-101.4816,51.8,62,100,9.22,overcast clouds
374,Carutapera,BR,-1.195,-46.02,87.62,55,83,10.2,broken clouds
375,Vitim,RU,59.4511,112.5578,29.37,97,100,4.21,overcast clouds
376,Roebourne,AU,-20.7833,117.1333,75.07,50,12,1.3,few clouds
377,Yining,CN,29.0361,114.5636,54.52,97,100,1.32,overcast clouds
378,Gizo,SB,-8.103,156.8419,80.82,75,56,7.2,light rain
379,North Bend,US,43.4065,-124.2243,57.11,97,100,6.91,mist
380,Marovoay,MG,-16.1,46.6333,77.31,49,0,3.76,clear sky
381,Hay River,CA,60.8156,-115.7999,49.98,66,75,4.61,broken clouds
382,Tapes,BR,-30.6733,-51.3958,71.55,52,20,12.03,few clouds
383,Kunming,CN,25.0389,102.7183,60.73,94,75,6.71,broken clouds
384,Byron Bay,AU,-28.65,153.6167,63.95,84,50,11.99,scattered clouds
385,Aligarh,IN,27.8833,78.0833,72.63,90,98,6.8,overcast clouds
386,Sotik,KE,-0.6833,35.1187,61.3,74,99,5.08,overcast clouds
387,Ardino,BG,41.5833,25.1333,53.01,61,0,8.37,clear sky
388,Mossendjo,CG,-2.9506,12.7261,70.7,98,76,2.21,light rain
389,San Mariano,PH,7.5,126.0,72.12,94,98,2.66,overcast clouds
390,Sawtell,AU,-30.3833,153.1,66.22,72,100,11.5,overcast clouds
391,Dingle,PH,10.9995,122.6711,76.44,94,99,5.44,overcast clouds
392,Presidente Medici,BR,-11.1753,-61.9014,93.49,42,98,7.81,overcast clouds
393,Half Moon Bay,US,37.4636,-122.4286,78.87,86,100,4.61,mist
394,Taber,CA,49.8167,-112.1518,60.64,71,1,3.44,clear sky
395,Andra,RU,62.5147,65.8878,42.87,92,96,5.32,overcast clouds
396,Kununurra,AU,-15.7667,128.7333,78.78,73,33,4.61,scattered clouds
397,Simbahan,PH,6.3032,120.5836,82.62,79,90,7.2,overcast clouds
398,Grindavik,IS,63.8424,-22.4338,44.55,75,75,4.61,broken clouds
399,Bereda,ES,43.2686,-7.5406,64.42,89,79,7.0,broken clouds
400,Taltal,CL,-25.4,-70.4833,65.48,59,21,4.81,few clouds
401,San Quintin,MX,30.4833,-115.95,72.72,70,6,8.34,clear sky
402,Formosa Do Rio Preto,BR,-11.0483,-45.1931,101.61,15,5,4.14,clear sky
403,Cabedelo,BR,-6.9811,-34.8339,86.67,70,13,15.28,few clouds
404,Guanica,PR,17.9716,-66.908,90.99,77,1,15.9,clear sky
405,Miguel Auza,MX,24.2933,-103.4503,65.41,61,88,5.66,overcast clouds
406,Nouadhibou,MR,20.931,-17.0347,76.98,65,9,20.71,sand
407,Sajanan,TN,37.0573,9.2426,72.52,64,49,10.45,light rain
408,Kasongo-Lunda,CD,-6.4667,16.8167,75.72,73,78,0.67,light rain
409,Salamanca,ES,40.8333,-6.0,73.62,48,79,4.74,broken clouds
410,Zhigansk,RU,66.7697,123.3711,20.61,90,100,8.95,overcast clouds
411,Sangar,RU,63.9242,127.4739,21.54,70,90,10.09,overcast clouds
412,Berlevag,NO,70.8578,29.0864,46.4,66,20,20.71,few clouds
413,Salair,RU,54.2312,85.7972,36.19,83,97,3.49,overcast clouds
414,Hobyo,SO,5.3505,48.5268,77.83,81,64,18.92,broken clouds
415,Horni Benesov,CZ,49.9668,17.6026,58.75,82,7,8.03,clear sky
416,Pangnirtung,CA,66.1451,-65.7125,26.6,68,75,4.61,broken clouds
417,Boa Viagem,BR,-5.1275,-39.7322,96.69,22,11,7.87,few clouds
418,Faya,SA,18.3851,42.4509,69.91,31,27,9.17,scattered clouds
419,Almaznyy,RU,48.0448,40.045,55.58,68,45,8.12,scattered clouds
420,Xichang,CN,27.8964,102.2634,58.12,91,100,2.64,overcast clouds
421,Independence,US,39.0911,-94.4155,55.58,55,0,9.22,clear sky
422,Kirakira,SB,-10.4544,161.9205,77.92,85,82,6.69,broken clouds
423,Itarema,BR,-2.9248,-39.9167,87.4,56,39,16.35,scattered clouds
424,Ballina,AU,-28.8667,153.5667,65.01,91,66,8.97,broken clouds
425,Sayyan,YE,15.1718,44.3244,63.28,26,94,9.57,overcast clouds
426,Darovskoy,RU,58.77,47.9564,46.69,91,71,9.71,broken clouds
427,Ranau,MY,5.9538,116.6641,70.38,98,91,0.89,overcast clouds
428,Tarumovka,RU,44.0761,46.5361,55.71,71,0,7.85,clear sky
429,Uusikaupunki,FI,60.8004,21.4084,55.0,83,100,23.15,overcast clouds
430,Ekhabi,RU,53.5102,142.9671,32.07,82,75,8.5,broken clouds
431,Marystown,CA,47.1666,-55.1483,55.98,83,100,9.93,overcast clouds
432,Jiangyou,CN,31.7667,104.7167,56.35,94,100,0.85,overcast clouds
433,Nagod,IN,24.5667,80.6,76.23,88,72,5.21,light rain
434,Furtwangen,DE,48.05,8.2,56.35,90,83,2.89,broken clouds
435,Pitimbu,BR,-7.4706,-34.8086,86.59,71,13,13.58,few clouds
436,Wagga Wagga,AU,-35.1167,147.3667,55.85,97,62,5.46,broken clouds
437,Ekimchan,RU,53.0667,132.9667,23.04,96,66,1.95,broken clouds
438,Aklavik,CA,68.2191,-135.0107,44.35,69,100,11.39,overcast clouds
439,Along,IN,28.1667,94.7667,70.3,97,70,1.3,broken clouds
440,Andros Town,BS,24.7,-77.7667,84.16,70,15,20.09,few clouds
441,Seoul,KR,37.5683,126.9778,51.4,84,0,5.75,clear sky
442,Nome,US,64.5011,-165.4064,42.87,71,100,17.27,overcast clouds
443,Ambon,ID,-3.6954,128.1814,75.34,94,20,5.75,few clouds
444,Portland,US,45.5234,-122.6762,69.69,84,100,4.61,fog
445,Jizan,SA,17.3333,42.6667,90.54,60,87,4.52,overcast clouds
446,Carmen Del Parana,PY,-27.2333,-56.2167,75.33,42,0,5.3,clear sky
447,Nara,JP,34.6851,135.8049,62.49,66,87,4.68,overcast clouds
448,Chumikan,RU,54.7183,135.315,30.85,68,34,4.36,scattered clouds
449,Kyra,RU,49.5776,111.9753,24.37,87,67,5.48,broken clouds
450,Te Anau,NZ,-45.4167,167.7167,34.52,92,62,1.7,broken clouds
451,Araouane,ML,18.9048,-3.5265,101.08,12,9,5.84,clear sky
452,Quatre Cocos,MU,-20.2078,57.7625,71.71,71,31,17.2,scattered clouds
453,Balvi,LV,57.1313,27.2658,50.77,80,91,9.55,overcast clouds
454,Santa Cruz,BO,-17.8,-63.1667,84.25,39,75,9.22,light rain
455,Houma,US,29.5958,-90.7195,86.02,47,0,6.91,clear sky
456,Verkhoyansk,RU,67.5447,133.385,10.4,87,98,7.49,overcast clouds
457,Bucerias,MX,20.75,-105.3333,87.98,67,4,4.07,clear sky
458,Channel-Port Aux Basques,CA,47.5702,-59.1367,56.62,84,46,5.55,scattered clouds
459,Akranes,IS,64.3218,-22.0749,44.65,67,61,4.47,broken clouds
460,Mecca,SA,21.4267,39.8261,85.62,57,11,2.82,few clouds
461,Egvekinot,RU,66.3167,-179.1667,19.87,80,100,5.44,overcast clouds
462,Kijang,KR,35.2442,129.2139,60.53,67,100,13.47,overcast clouds
463,Hede,CN,33.7681,120.2517,56.08,62,100,0.69,overcast clouds
464,Hondo,JP,32.45,130.2,67.28,70,100,9.62,overcast clouds
465,Mayumba,GA,-3.432,10.6554,76.33,84,100,6.4,overcast clouds
466,Puerto Carreno,CO,6.189,-67.4859,91.38,58,40,3.44,scattered clouds
467,Sioux City,US,42.5,-96.4003,51.46,44,23,5.99,few clouds
468,Aizpute,LV,56.7167,21.6,54.63,77,27,11.48,scattered clouds
469,Oudtshoorn,ZA,-33.5907,22.2014,57.56,73,3,3.85,clear sky
470,Otjimbingwe,NA,-22.35,16.1333,82.67,16,13,5.79,few clouds
471,Atasu,KZ,48.6814,71.6433,56.97,39,91,8.88,overcast clouds
472,Narrabri,AU,-30.3167,149.7833,64.53,87,98,5.01,light rain
473,Ust-Ilimsk,RU,58.0006,102.6619,29.68,95,100,4.36,overcast clouds
474,Lujan,AR,-34.5703,-59.105,82.94,25,1,5.01,clear sky
475,Chabahar,IR,25.2919,60.643,81.64,71,0,7.14,clear sky
476,Seminole,US,28.7086,-81.2081,87.28,52,8,1.99,clear sky
477,Zarand,IR,30.8127,56.564,62.06,6,0,4.29,clear sky
478,Gopalpur,IN,19.2667,84.9167,79.97,83,95,4.07,overcast clouds
479,Oranjestad,AW,12.524,-70.027,88.92,74,40,16.11,scattered clouds
480,Tral,IN,33.9333,75.1,57.6,47,0,2.3,clear sky
481,Conceicao Da Barra,BR,-18.5933,-39.7322,83.05,65,65,15.39,broken clouds
482,Alofi,NU,-19.0595,-169.9187,71.49,94,94,4.61,overcast clouds
483,Sioux Lookout,CA,50.1001,-91.917,37.47,65,40,10.36,scattered clouds
484,Dunedin,NZ,-45.8742,170.5036,40.73,83,6,3.67,clear sky
485,Sao Filipe,CV,14.8961,-24.4956,80.17,82,43,7.54,scattered clouds
486,Road Town,VG,18.4167,-64.6167,86.04,79,40,11.5,scattered clouds
487,Nizhnevartovsk,RU,60.9344,76.5531,48.22,53,0,7.0,clear sky
488,Lazarev,RU,52.225,141.5131,38.8,60,35,10.31,scattered clouds
489,Iberia,US,29.9502,-91.7507,89.96,36,64,3.98,broken clouds
490,Coahuayana,MX,18.7333,-103.6833,87.55,63,86,3.87,overcast clouds
491,Ixtapa,MX,20.7,-105.2,87.22,67,3,3.0,clear sky
492,Adrar,MR,20.5022,-10.0711,98.31,12,7,3.78,clear sky
493,Mahina,PF,-17.5065,-149.489,78.57,69,20,0.0,few clouds
494,Mackay,AU,-21.15,149.2,70.68,79,61,8.43,broken clouds
495,Somerset West,ZA,-34.084,18.8211,61.21,75,49,7.94,scattered clouds
496,Sestri Levante,IT,44.2732,9.3968,70.05,83,13,4.0,few clouds
497,Mandalgovi,MN,45.7625,106.2708,26.64,92,100,27.85,light snow
498,Cap Malheureux,MU,-19.9842,57.6142,71.47,67,10,11.01,clear sky
499,Saint-Joseph,RE,-21.3667,55.6167,68.38,74,20,12.08,few clouds
500,Contamana,PE,-7.3333,-75.0167,91.67,52,99,2.95,light rain
501,Yerbogachen,RU,61.2767,108.0108,31.68,83,100,7.99,overcast clouds
502,Havelock,US,34.8791,-76.9013,84.15,55,0,8.05,clear sky
503,Henties Bay,NA,-22.116,14.2845,57.61,81,2,7.23,clear sky
504,Marzuq,YE,14.4,46.4667,77.14,35,16,4.9,few clouds
505,Hovelhof,DE,51.8167,8.65,56.75,73,73,5.91,broken clouds
506,Gamba,GA,-2.65,10.0,76.93,79,100,6.31,overcast clouds
507,Udalguri,IN,26.7667,92.1333,74.71,92,18,1.72,few clouds
508,Salekhard,RU,66.53,66.6019,39.11,98,100,4.85,overcast clouds
509,Umea,SE,63.8284,20.2597,51.91,100,75,9.22,broken clouds
510,Port Lincoln,AU,-34.7333,135.8667,51.31,71,100,9.62,overcast clouds
511,Tonj,SS,7.2737,28.6822,75.16,84,69,5.55,light rain
512,Azovo,RU,54.6997,73.0237,53.35,54,100,8.52,overcast clouds
513,Tahoua,NE,14.8888,5.2692,93.18,38,0,2.3,clear sky
514,Doha,QA,25.2867,51.5333,89.49,72,0,6.91,clear sky
515,Erzin,TR,36.9559,36.2,69.04,83,63,3.18,broken clouds
516,Kieta,PG,-6.2167,155.6333,79.5,81,69,3.36,broken clouds
517,Nizwa,OM,22.9333,57.5333,82.13,36,32,5.66,scattered clouds
518,Ponta Delgada,PT,37.7333,-25.6667,72.32,78,20,6.91,few clouds
519,Yei,SS,4.095,30.6779,68.32,93,100,2.33,moderate rain
520,Freeport,US,40.6576,-73.5832,78.98,49,2,8.01,clear sky
521,Floro,NO,61.5996,5.0328,50.23,81,40,26.46,scattered clouds
522,Smyrna,US,33.884,-84.5144,82.9,43,20,9.22,few clouds
523,Hulan,CN,45.9833,126.6,32.11,62,61,2.13,broken clouds
524,Kalianget,ID,-7.05,113.9333,81.52,80,100,6.17,overcast clouds
525,Bilgoraj,PL,50.5411,22.722,57.36,84,3,6.42,clear sky
526,Suntar,RU,62.1444,117.6319,27.01,89,98,5.53,overcast clouds
527,Vilhena,BR,-12.7406,-60.1458,77.22,73,75,12.66,broken clouds
528,Samarai,PG,-10.6167,150.6667,80.49,81,96,8.99,overcast clouds
529,Batticaloa,LK,7.7102,81.6924,79.95,77,100,5.5,overcast clouds
530,Ndjole,GA,-0.1783,10.7649,72.61,97,75,1.86,light rain
531,Khromtau,KZ,50.2503,58.4347,46.02,64,66,8.97,broken clouds
532,Champerico,GT,14.3,-91.9167,91.94,71,75,4.9,broken clouds
533,Muravlenko,RU,63.7898,74.523,41.16,88,100,10.83,overcast clouds
534,Zaragoza,ES,41.6561,-0.8773,75.65,43,20,5.75,few clouds
535,Kaohsiung,TW,22.6163,120.3133,80.55,84,75,2.3,broken clouds
536,Kiunga,PG,-6.1219,141.2906,73.31,100,100,1.54,overcast clouds
537,Boa Vista,BR,2.8197,-60.6733,93.18,46,40,11.5,scattered clouds
538,Clyde River,CA,70.4692,-68.5914,19.63,73,20,12.66,few clouds
539,Eureka,US,40.8021,-124.1637,64.67,71,63,6.2,broken clouds
540,Chagoda,RU,59.164,35.3285,51.12,79,58,9.24,broken clouds
541,Russell,US,32.3502,-85.1999,86.0,25,4,4.83,clear sky
542,Dryden,CA,49.7833,-92.7503,39.49,56,20,14.97,few clouds
543,Cairns,AU,-16.9167,145.7667,76.95,89,40,8.05,scattered clouds
544,Stadtbredimus,LU,49.5628,6.3644,58.8,82,0,3.44,clear sky
545,Alta Floresta,BR,-9.8756,-56.0861,80.42,74,100,11.5,overcast clouds
546,Beni Mazar,EG,28.4962,30.8029,76.57,32,0,8.32,clear sky
547,Barcelos,PT,41.5388,-8.6151,73.92,69,53,3.44,broken clouds
548,Mehamn,NO,71.0357,27.8492,46.35,71,40,26.46,scattered clouds
549,Mersing,MY,2.4312,103.8405,76.91,88,40,5.75,scattered clouds
550,Krasnokamensk,RU,50.0979,118.0369,26.31,66,26,2.75,scattered clouds
551,Teahupoo,PF,-17.8333,-149.2667,73.36,80,23,19.57,light rain
552,Lincoln,US,40.8,-96.667,56.28,49,0,12.66,clear sky
553,Gotsu,JP,35.0,132.2167,60.96,81,100,11.74,overcast clouds
554,Varadero,CU,23.1536,-81.2514,82.27,70,12,16.02,few clouds
555,Batemans Bay,AU,-35.7167,150.1833,59.09,94,52,3.71,light rain
556,Temba,ZA,-25.3803,28.2631,71.62,25,4,24.09,clear sky
557,Harper,LR,4.375,-7.7169,77.7,86,75,8.32,light rain
558,Phalodi,IN,27.1333,72.3667,85.03,49,20,12.97,few clouds
559,Qianguo,CN,45.1171,124.8568,39.52,53,55,0.65,broken clouds
560,Olinda,BR,-8.0089,-34.8553,83.93,65,75,9.22,broken clouds
561,Natal,BR,-5.795,-35.2094,86.65,65,75,18.41,broken clouds
562,Teyateyaneng,LS,-29.1472,27.7489,65.68,16,34,3.96,scattered clouds
563,Coruripe,BR,-10.1256,-36.1756,82.0,69,9,10.8,clear sky
564,Hirado,JP,33.3597,129.5531,65.39,67,100,26.28,overcast clouds
565,Sovetskaya Gavan,RU,48.9723,140.2878,34.93,62,8,5.88,clear sky
566,Rumoi,JP,43.9344,141.6428,45.05,82,99,5.57,overcast clouds
567,Lisakovsk,KZ,52.5369,62.4936,47.59,70,68,8.7,broken clouds
568,Egersund,NO,58.4513,5.9997,51.39,78,100,9.31,overcast clouds
569,Panaba,MX,21.2833,-88.2667,90.9,42,100,11.52,overcast clouds
570,Oranjemund,NA,-28.55,16.4333,59.41,80,0,19.53,clear sky
571,Baruun-Urt,MN,46.6806,113.2792,35.02,43,100,20.33,overcast clouds
572,Ferme-Neuve,CA,46.7001,-75.4493,39.87,88,100,9.89,overcast clouds
573,Ballinasloe,IE,53.3275,-8.2194,49.48,79,2,11.27,clear sky
574,Tommot,RU,58.9564,126.2925,19.26,88,100,5.48,overcast clouds
575,Alegrete,BR,-29.7831,-55.7919,72.3,43,0,12.35,clear sky
576,Jasper,US,37.2001,-94.3502,69.06,44,34,4.0,scattered clouds
577,Calabozo,VE,8.9242,-67.4293,85.39,68,98,5.79,overcast clouds
578,Sao Borja,BR,-28.6606,-56.0044,77.95,41,0,10.0,clear sky
579,Oksfjord,NO,70.2396,22.3479,48.38,86,91,10.63,overcast clouds
580,Akom,CM,2.6678,12.7109,68.05,98,98,4.36,light rain
581,Veraval,IN,20.9,70.3667,82.71,71,100,6.98,overcast clouds
582,Townsville,AU,-19.25,146.8,74.28,83,40,12.66,scattered clouds
583,Westport,US,41.1415,-73.3579,78.57,54,7,1.99,clear sky
584,Opuwo,NA,-18.0607,13.84,84.22,14,20,1.39,few clouds
585,Pa Sang,TH,18.5262,98.9394,79.0,95,63,0.22,broken clouds
586,Maragogi,BR,-9.0122,-35.2225,80.67,72,17,11.74,few clouds
587,Bairiki,KI,1.3292,172.9752,80.6,78,20,9.22,few clouds
588,Millville,US,39.4021,-75.0393,78.21,49,0,9.66,clear sky
589,Praya,CV,14.9215,-23.5087,86.54,70,20,12.66,haze
590,Nampa,US,43.5407,-116.5635,73.8,39,21,3.44,few clouds
591,Isla Vista,US,34.4133,-119.861,90.34,71,75,5.75,mist
592,Biak,ID,-0.9131,122.8766,76.1,85,96,2.93,overcast clouds
593,Walvis Bay,NA,-22.9575,14.5053,61.75,72,0,8.05,clear sky
594,Panama City,PA,8.9936,-79.5197,85.17,80,75,9.22,drizzle
595,Dilla,ET,6.41,38.31,62.85,96,95,5.7,heavy intensity rain
596,Kindu,CD,-2.95,25.95,70.72,97,88,4.36,overcast clouds
597,Shenjiamen,CN,29.9576,122.298,66.34,67,100,12.97,overcast clouds
598,Bahir Dar,ET,11.5936,37.3908,61.84,86,60,4.36,light rain
599,Orotukan,RU,62.2667,151.7,7.16,92,97,7.65,overcast clouds
600,Raudeberg,NO,61.9875,5.1352,48.87,1,85,29.93,overcast clouds
601,Toropets,RU,56.4978,31.6353,50.14,82,100,8.23,overcast clouds
602,Matamba,TZ,-8.9833,33.9667,59.68,42,22,8.81,few clouds
603,Oistins,BB,13.0667,-59.5333,87.89,74,40,16.11,scattered clouds
604,Bonavista,CA,48.6499,-53.1147,52.61,89,94,13.85,overcast clouds
605,Zeya,RU,53.75,127.2667,24.89,74,33,4.43,scattered clouds
606,Lyskovo,RU,56.0328,45.0422,51.89,69,91,14.7,overcast clouds
607,Baie-Comeau,CA,49.2168,-68.1489,46.08,93,100,20.71,mist
608,Nabire,ID,-3.3667,135.4833,75.33,92,100,3.11,overcast clouds
609,Chengde,CN,40.9725,117.9361,45.05,80,66,2.59,broken clouds
610,Camocim,BR,-2.9022,-40.8411,88.56,54,32,17.67,scattered clouds
611,Waingapu,ID,-9.6567,120.2641,79.93,82,36,8.05,scattered clouds
612,Fort Morgan,US,40.2503,-103.8,44.02,75,100,9.22,overcast clouds
613,Nombre De Dios,MX,23.85,-104.2333,67.64,56,92,3.53,overcast clouds
614,Paamiut,GL,61.994,-49.6678,32.18,87,99,5.59,overcast clouds
615,Clarence Town,AU,-32.5833,151.7833,62.94,98,85,2.53,overcast clouds
616,Kruisfontein,ZA,-34.0033,24.7314,58.89,90,6,6.69,clear sky
617,Mukhen,RU,48.1,136.1,32.4,69,4,5.17,clear sky
618,Sola,VU,-13.8833,167.55,80.4,75,41,10.47,scattered clouds
619,Khash,IR,28.2211,61.2158,60.89,5,0,6.6,clear sky
620,Roma,US,43.2128,-75.4557,55.81,79,88,8.01,overcast clouds
621,La Serena,CL,-29.9078,-71.2542,62.11,72,0,16.11,clear sky
622,Howard Springs,AU,-12.497,131.047,78.82,95,51,1.12,broken clouds
623,San Francisco,US,37.7749,-122.4194,77.68,77,50,3.0,scattered clouds
624,Kathmandu,NP,27.7167,85.3167,66.42,100,75,2.3,broken clouds
625,Kloulklubed,PW,7.0419,134.2556,83.53,69,100,1.05,overcast clouds
626,Tambopata,PE,-12.7333,-69.1833,87.69,45,75,13.8,broken clouds
627,Miguel Hidalgo,MX,19.4225,-99.2028,66.58,61,95,1.99,overcast clouds
628,Mount Isa,AU,-20.7333,139.5,71.37,94,45,0.0,light rain
629,Turan,VN,16.0678,108.2208,78.78,89,40,1.14,thunderstorm
630,Yarada,IN,17.65,83.2667,79.12,100,75,2.3,mist
631,Kosh-Agach,RU,50.0,88.6667,27.59,51,9,3.36,clear sky
632,Kamloops,CA,50.6665,-120.3192,56.39,67,75,2.3,broken clouds
633,Oyama,JP,36.3,139.8,58.59,90,99,3.04,overcast clouds
634,Yoichi,JP,43.2039,140.7703,50.72,70,98,4.97,light rain
635,Sao Joao Da Barra,BR,-21.6403,-41.0511,86.09,74,94,9.86,overcast clouds
636,Davila,PH,18.4726,120.5763,81.1,79,16,14.76,few clouds
637,Luderitz,NA,-26.6481,15.1594,65.64,58,0,18.54,clear sky
638,Vietri Sul Mare,IT,40.6687,14.7253,70.66,86,100,0.98,overcast clouds
639,Zwedru,LR,6.0667,-8.1281,74.28,96,61,4.23,moderate rain
640,Astoria,US,46.1879,-123.8313,58.55,95,100,1.21,overcast clouds
641,Viedma,AR,-40.8135,-62.9967,72.41,31,94,23.98,overcast clouds
642,Minab,IR,27.1467,57.0801,82.72,61,0,2.3,haze
643,Lodja,CD,-3.4833,23.4333,72.05,91,98,4.27,moderate rain
644,Tete,MZ,-16.1564,33.5867,90.1,19,1,6.73,clear sky
645,Walla Walla,US,46.0646,-118.343,72.86,51,76,4.0,broken clouds
646,Ciudad Bolivar,VE,8.1222,-63.5497,90.99,49,95,6.69,overcast clouds
647,Gornopravdinsk,RU,60.05,69.9,45.09,94,98,7.45,overcast clouds
648,Makubetsu,JP,45.3714,141.8211,43.86,75,100,2.86,overcast clouds
649,Buckeye,US,33.3703,-112.5838,91.15,32,0,19.57,clear sky
650,Yarensk,RU,62.1675,49.0916,44.28,93,93,7.38,overcast clouds
651,Moree,AU,-29.4667,149.85,61.16,91,99,14.34,light rain
652,Maridi,SS,4.9158,29.4742,68.09,95,97,4.85,moderate rain
653,Mokhsogollokh,RU,61.4681,128.9203,22.21,69,94,7.85,overcast clouds
654,Iquitos,PE,-3.7481,-73.2472,77.04,78,75,5.75,broken clouds
655,Mujiayingzi,CN,42.1167,118.7833,47.73,51,99,6.08,overcast clouds
656,Kadoma,JP,34.7333,135.5833,67.98,76,75,3.44,broken clouds
657,Comarapa,BO,-17.9,-64.4833,69.22,47,54,9.84,broken clouds
658,Barinas,VE,8.6226,-70.2075,86.59,58,100,1.28,overcast clouds
659,Nelas,PT,40.5322,-7.8515,75.94,44,16,3.56,few clouds
660,Lewiston,US,44.1003,-70.2148,71.33,70,94,6.44,overcast clouds
661,Werda,BW,-25.2667,23.2833,83.32,12,0,5.99,clear sky
662,Youkounkoun,GN,12.5333,-13.1333,86.18,73,22,3.13,few clouds
663,Kyrksaeterora,NO,63.2906,9.0891,44.69,86,32,3.62,scattered clouds
664,Paita,PE,-5.0892,-81.1144,70.97,70,66,15.48,broken clouds
665,Mitu,CO,1.1983,-70.1733,94.03,40,93,2.84,overcast clouds
666,Lompoc,US,34.6391,-120.4579,57.92,94,75,6.91,mist
667,Dunda,TZ,-8.1167,34.25,72.12,35,6,8.03,clear sky
668,Lumberton,US,34.6182,-79.0086,83.91,41,0,6.33,clear sky
669,Dabwali,IN,29.95,74.7333,73.56,85,0,8.3,clear sky
670,Penzance,GB,50.1186,-5.5371,59.77,80,41,19.69,scattered clouds
671,Kenai,US,60.5544,-151.2583,47.14,95,100,11.9,overcast clouds
672,Auray,FR,47.6703,-2.9918,60.75,88,89,10.4,overcast clouds
673,Leirvik,NO,59.7798,5.5005,53.64,93,40,12.66,scattered clouds
674,Mayya,RU,61.7333,130.2811,24.12,70,81,8.19,broken clouds
675,Pacific Grove,US,36.6177,-121.9166,69.82,92,40,8.01,scattered clouds
676,Nishihara,JP,26.1842,127.7558,78.08,78,87,16.11,overcast clouds
677,Gimli,CA,50.6336,-96.9907,44.62,57,34,11.5,scattered clouds
678,San Sebastian,ES,43.3128,-1.975,67.84,81,40,3.44,scattered clouds
679,Eha Amufu,NG,6.6592,7.7596,73.02,94,100,4.76,overcast clouds
680,Innisfail,AU,-17.5333,146.0333,74.19,88,43,4.72,scattered clouds
681,Huilong,CN,31.8111,121.655,60.93,61,100,7.65,overcast clouds
682,Ilebo,CD,-4.3167,20.5833,77.36,76,99,1.05,overcast clouds
683,Surt,LY,31.2089,16.5887,74.86,64,2,11.27,clear sky
684,Matagami,CA,49.7502,-77.6328,37.51,56,75,19.57,broken clouds
685,Pemangkat,ID,1.1667,108.9667,78.39,83,100,4.83,moderate rain
686,Maneadero,MX,31.7167,-116.5667,69.1,86,4,1.99,clear sky
687,Kazerun,IR,29.6195,51.6541,78.78,12,0,5.79,clear sky
688,The Pas,CA,53.8251,-101.2541,48.63,42,97,13.73,overcast clouds
689,Tari,NG,12.4086,4.4914,86.94,51,17,6.49,few clouds
690,Jackson,US,42.4165,-122.8345,75.36,50,92,1.41,overcast clouds
